isCongruent,isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,fixCross_started,outcome1Box_stopped,choiceKey_started,choiceKey_stopped,outcome2Box_2_started,outcome2Box_3_started,fixCross_ISI_started,happyText_started,happySlider_response,happySlider_started,happySlider_stopped,happyResp_keys,trial_sample,choice_sample,outcome_sample,happyText_sample,happySlider_sample,fixCross_ITI_sample
True,True,0.43,-0.57,-7.34,15.32,4.5,-10.82,-3.16,gamble,win,4.5,72.5895833333333,2680.73848889465,None,2680.73848889465,None,2683.45619866654,2687.45771187101,2688.44144900289,2689.44183266372,0.45,2692.44297404675,None,None,1043121,1046382,1051184,1053565,1057166,1062589
True,False,0.45,-0.55,-7.89,15.59,6.1,-9.49,-1.695,gamble,win,6.1,78.6895833333333,2698.96216700861,None,2698.96216700861,None,2700.44604525343,2704.44758373662,NaN,NaN,NaN,NaN,,,1064989,1066770,1071572,0,0,1072774
False,False,0.45,-0.55,-8.44,-2.62833333333333,9.1,6.47166666666667,3.23583333333333,gamble,lose,6.47166666666667,85.16125,2707.44877279724,None,2707.44877279724,None,2708.83258563734,2712.81746223225,NaN,NaN,NaN,NaN,,,1075174,1076834,1081616,0,0,1082837
False,False,0.45,-0.55,-8.99,-2.67416666666667,-0.3,-2.97416666666667,-1.63708333333333,gamble,lose,-2.97416666666667,82.1870833333333,2715.83538485761,None,2715.83538485761,None,2718.8364708834,2722.83801768615,2723.82170074072,2724.82211352012,0.41,2727.82326994237,None,None,1085237,1088839,1093641,1096021,1099623,1105046
True,True,0.41,-0.59,-9.58,17.84,8.1,-9.74,-0.820000000000002,gamble,win,8.1,90.2870833333333,2734.34245394467,None,2734.34245394467,None,2735.85969948379,2739.86123636708,NaN,NaN,NaN,NaN,,,1107446,1109267,1114069,0,0,1115270
True,False,0.41,-0.59,-10.17,18.43,9.9,-8.53000000000001,0.684999999999997,gamble,win,9.9,100.187083333333,2742.86239886907,None,2742.86239886907,None,2744.21291065152,2748.19777924684,2749.19816642755,2750.19854496862,0.46,2753.19968411175,None,None,1117670,1119290,1124073,1126473,1130075,1135498
False,True,0.46,-0.54,-10.71,-2.7825,3.7,0.9175,0.45875,gamble,lose,0.9175,101.104583333333,2759.71888635319,None,2759.71888635319,None,2761.61961162899,2765.60447638453,NaN,NaN,NaN,NaN,,,1137898,1140179,1144961,0,0,1146182
True,False,0.46,-0.54,-11.25,18.81,2.7,-16.11,-6.705,gamble,win,2.7,103.804583333333,2768.62236893136,None,2768.62236893136,None,2770.13955879322,2774.14109919633,2775.12480496976,2776.12519151042,0.45,2779.1263895306,None,None,1148582,1150403,1155205,1157586,1161187,1166610
False,True,0.45,-0.55,-11.8,-2.90833333333333,7.9,4.99166666666667,2.49583333333333,gamble,lose,4.99166666666667,108.79625,2785.64559689182,None,2785.64559689182,None,2787.04605306103,2791.03096741409,NaN,NaN,NaN,NaN,,,1169010,1170691,1175473,0,0,1176694
True,True,0.45,-0.55,-12.35,20.05,7.1,-12.95,-2.925,gamble,win,7.1,115.89625,2794.04875340621,None,2794.04875340621,None,2795.66604035127,2799.66758107435,NaN,NaN,NaN,NaN,,,1179094,1181035,1185837,0,0,1187038
True,True,0.45,-0.55,-12.9,20.6,10.3,-10.3,-3.5527136788005e-15,gamble,win,10.3,126.19625,2802.6687640553,None,2802.6687640553,None,2805.66989487887,2809.67143592192,2810.6551320958,2811.65553591563,0.53,2814.65667089901,None,None,1189438,1193040,1197841,1200222,1203824,1209247
True,False,0.53,-0.47,-13.37,19.95,-1.3,-21.25,-11.275,gamble,win,-1.3,124.89625,2821.17592017807,None,2821.17592017807,None,2824.17701292352,2828.17854916683,NaN,NaN,NaN,NaN,,,1211647,1215248,1220050,0,0,1221251
True,False,0.53,-0.47,-13.84,20.42,5.5,-14.92,-4.71,gamble,win,5.5,130.39625,2831.17971006886,None,2831.17971006886,None,2832.53022761102,2836.53176961408,2837.51540467102,2838.51586096821,0.46,2841.5170017113,None,None,1223651,1225272,1230074,1232455,1236056,1241480
False,True,0.46,-0.54,-14.38,-3.08833333333333,7.3,4.21166666666667,2.10583333333333,gamble,lose,4.21166666666667,134.607916666667,2848.03619787301,None,2848.03619787301,None,2849.15331170667,2853.13814798364,NaN,NaN,NaN,NaN,,,1243880,1245220,1250002,0,0,1251223
True,True,0.46,-0.54,-14.92,22.48,1.9,-20.58,-9.34,gamble,win,1.9,136.507916666667,2856.15598549321,None,2856.15598549321,None,2857.90666577924,2861.89152061526,2862.89191259572,2863.89230233629,0.46,2866.89343827957,None,None,1253623,1255724,1260506,1262907,1266508,1271911
