isCongruent,isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,fixCross_started,outcome1Box_stopped,choiceKey_started,choiceKey_stopped,outcome2Box_2_started,outcome2Box_3_started,choiceKey_rt,fixCross_ISI_stopped,happyText_stopped,happySlider_rt,happySlider_started,happySlider_stopped,trial_sample,choice_sample,outcome_sample,happyText_sample,happySlider_sample,fixCross_ITI_sample
True,True,0.43,0.43,2.31,-8.33,0.7,-7.63,-3.465,certain,certain,-3.465,81.7916666666667,579.201908053132,None,579.201908053132,None,580.585789275821,584.587282632245,1.35076883703005,,,NaN,NaN,,481542,483202,488004,0,0,489206
True,False,0.43,0.43,2.74,-8.76,3.1,-5.66,-1.28,certain,certain,-1.28,80.5116666666667,587.588416968705,None,587.588416968705,None,589.13905397302,593.123897701735,1.51752525859047,,,NaN,NaN,,491606,493467,498248,0,0,499470
False,True,0.43,0.43,3.17,1.76916666666667,2.875,1.10583333333333,1.99041666666667,gamble,win,2.875,83.3866666666667,596.141710144235,None,596.141710144235,None,596.975296743447,600.960193589213,0.800518370931968,None,None,7.50274336640723,605.962080843514,None,501870,502870,507652,510053,513655,519078
True,False,0.39,0.39,3.56,-9.02,12.7,3.68,1.84,gamble,lose,3.68,87.0666666666667,612.48122489138,None,612.48122489138,None,613.348173142294,617.349687937531,0.833875222946517,,,NaN,NaN,,521478,522518,527319,0,0,528521
True,True,0.39,0.39,3.95,-9.41,2.3,-7.11,-2.405,certain,certain,-2.405,84.6616666666667,620.3508225939,None,620.3508225939,None,622.284889966133,626.2863970818,1.90101354324725,None,None,7.50279872317333,631.271605590126,None,530921,533241,538044,540425,544026,549449
True,False,0.4,0.4,4.35,-9.95,11.3,1.35,0.675,gamble,lose,1.35,86.0116666666667,637.7907528379,None,637.7907528379,None,638.791193453246,642.775973825483,0.967280232347548,,,NaN,NaN,,551849,553050,557832,0,0,559053
True,False,0.4,0.4,4.75,-10.35,4.1,-6.25,-1.075,certain,certain,-1.075,84.9366666666667,645.793896021903,None,645.793896021903,None,647.761254009791,651.746040141792,1.93425552174449,,,NaN,NaN,,561453,563814,568596,0,0,569817
True,True,0.4,0.4,5.15,-10.75,8.1,-2.65,-1.325,gamble,lose,-2.65,82.2866666666666,654.763901221566,None,654.763901221566,None,656.297803802998,660.282656171243,1.50079819536768,None,None,7.50272352749016,665.284486148856,None,572217,574058,578839,581241,584842,590265
False,False,0.4,0.4,5.55,1.8625,0.125,-1.7375,-0.80625,certain,certain,-0.80625,81.4804166666666,671.803660915,None,671.803660915,None,674.471372323227,678.472853520187,2.63461278169416,,,NaN,NaN,,592665,595867,600668,0,0,601870
True,False,0.4,0.4,5.95,-11.55,8.7,-2.85,-1.425,gamble,lose,-2.85,78.6304166666666,681.47399297636,None,681.47399297636,None,682.7244371915,686.725967665785,1.2173427088419,None,None,7.50271136814263,691.711252009962,None,604270,605771,610572,612953,616554,621978
False,False,0.41,0.41,6.36,1.965,0.275,-1.69,-0.7075,certain,certain,-0.7075,77.9229166666666,698.230306142825,None,698.230306142825,None,699.964294479578,703.949168286636,1.7008967497386,,,NaN,NaN,,624378,626458,631241,0,0,632462
True,False,0.41,0.41,6.77,-12.51,4.5,-8.01,-1.755,certain,certain,-1.755,76.1679166666666,706.966956730466,None,706.966956730466,None,708.384148407727,712.385714720003,1.38410712999757,None,None,7.50270816835109,717.370870751212,None,634862,636563,641365,643746,647347,652770
True,True,0.5,0.5,7.27,-14.27,10.9,-3.37,-1.685,gamble,lose,-3.37,72.7979166666666,723.890076555777,None,723.890076555777,None,725.157164638746,729.158730951138,1.23398657678626,,,NaN,NaN,,655170,656690,661492,0,0,662694
False,True,0.5,0.5,7.77,2.3975,3.125,0.7275,1.92625,gamble,win,3.125,75.9229166666666,732.159872007207,None,732.159872007207,None,733.310295263538,737.295147951692,1.11731055052951,,,NaN,NaN,,665094,666475,671256,0,0,672478
True,False,0.5,0.5,8.27,-15.27,7.1,-8.17,-0.535000000000002,certain,certain,-0.535000000000002,75.3879166666666,740.312961674179,None,740.312961674179,None,742.196954730549,746.181791739655,1.85092578816693,None,None,7.50267905008513,751.183672594372,None,674878,677138,681920,684322,687923,693346
True,True,0.48,0.48,8.75,-15.47,13.3,-2.17,-1.085,gamble,lose,-2.17,73.2179166666666,757.702871999238,None,757.702871999238,None,759.019989920547,763.004835569183,1.28406281257048,,,NaN,NaN,,695746,697326,702108,0,0,703330
False,False,0.48,0.48,9.23,2.44916666666667,2.225,-0.224166666666667,1.00041666666667,gamble,win,2.225,75.4429166666666,766.022638092283,None,766.022638092283,None,768.140174870263,772.124949482852,2.08441703265999,None,None,7.50272000767291,777.126831297413,None,705730,708271,713053,715453,719055,724478
False,False,0.48,0.48,9.71,2.48916666666667,0.825,-1.66416666666667,-0.419583333333333,gamble,win,0.825,76.2679166666666,783.645977265318,None,783.645977265318,None,785.096527714515,789.148061148589,1.41756733623333,,,NaN,NaN,,726878,728618,733480,0,0,734622
True,False,0.48,0.48,10.19,-16.91,-1.3,-18.21,-9.755,certain,certain,-9.755,66.5129166666666,792.099173006369,None,792.099173006369,None,794.133322773967,798.134792771656,2.00101338326931,None,None,7.50268544966821,803.120001919917,None,737022,739463,744265,746646,750247,755670
True,False,0.5,0.5,10.69,-17.69,6.5,-11.19,-2.345,certain,certain,-2.345,64.1679166666666,809.639149487601,None,809.639149487601,None,811.773313814425,815.77485292824,2.10107050009537,,,NaN,NaN,,758070,760631,765433,0,0,766634
True,True,0.5,0.5,11.19,-18.19,11.9,-6.29,-3.145,gamble,lose,-6.29,57.8779166666666,818.775939267478,None,818.775939267478,None,819.976450598799,823.961282808217,1.16740118560847,,,NaN,NaN,,769034,770475,775257,0,0,776478
True,False,0.5,0.5,11.69,-18.69,3.5,-15.19,-5.845,certain,certain,-5.845,52.0329166666666,826.979104210157,None,826.979104210157,None,829.496681305813,833.498220739653,2.48447590926662,None,None,7.5027356868377,838.483387970249,None,778878,781900,786701,789082,792684,798107
True,False,0.46,0.46,12.15,-18.59,4.3,-14.29,-4.995,certain,certain,-4.995,47.0379166666666,845.00253777788,None,845.00253777788,None,847.170050637214,851.171609909856,2.13441007293295,,,NaN,NaN,,800507,803108,807910,0,0,809091
