isHappyBlock,isCongruent,isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,outcome1Box_started,choiceKey_keys,outcome1Box_2_started,outcome1Box_3_started,fixCross_ITI_started,choiceKey_rt,fixCross_ISI_started,happyText_started,happySlider_response,happySlider_rt,happySlider_started,trial_sample,choice_sample,outcome_sample,happyText_sample,happySlider_sample,fixCross_ITI_sample
False,True,False,0.42,0.42,7.24,-13.12,2.675,-10.445,-3.885,certain,certain,-3.885,54.1045833333333,710.449754027475,3,712.546003290743,716.54751586006,717.531278538692,2.06316760880873,NaN,NaN,NaN,NaN,NaN,673037,675558,680360,0,0,681562
False,True,True,0.42,0.42,7.66,-13.54,2.225,-11.315,-4.545,gamble,lose,-11.315,42.7895833333333,719.548684125475,1,721.549510006909,725.551031855808,726.534782694944,1.96777686546557,NaN,NaN,NaN,NaN,NaN,683962,686363,691165,0,0,692366
False,True,False,0.42,0.42,8.08,-13.96,1.075,-12.885,-5.905,certain,certain,-5.905,36.8845833333333,728.552187321824,3,730.169491601351,734.17106944765,743.658102373476,1.58420982572716,735.154747330176,736.155182509858,0.31,7.50279890920501,739.156357174972,694766,696707,701509,703890,707491,712914
False,False,False,0.31,0.31,8.39,1.78416666666667,0.975,-0.809166666666667,0.0829166666666666,gamble,win,0.975,37.8595833333333,745.675553078181,1,747.709677563864,751.711233651149,752.694904814067,2.00103643158218,NaN,NaN,NaN,NaN,NaN,715314,717755,722557,0,0,723758
False,True,False,0.31,0.31,8.7,-13.04,2.425,-10.615,-4.095,certain,certain,-4.095,33.7645833333333,754.712354558811,3,756.613138714165,760.614698641293,770.101689649047,1.86784297437407,761.598374283931,762.598783544847,0.41,7.50284850690514,765.599933891091,726158,728439,733241,735622,739224,744647
False,False,False,0.41,0.41,9.11,2.19416666666667,0.125,-2.06916666666667,-0.972083333333333,gamble,win,0.125,33.8895833333333,772.119117634837,1,774.920212047698,778.921812612913,779.905484735733,2.768056916364,NaN,NaN,NaN,NaN,NaN,747047,750408,755210,0,0,756411
False,True,False,0.41,0.41,9.52,-15.26,-0.225,-15.485,-7.855,gamble,lose,-15.485,18.4045833333333,781.922963599151,NaN,784.924151383631,788.92566907272,798.412675759813,NaN,789.909371594142,790.909799734131,0.19,7.50279666937422,793.910977599153,758811,762413,767215,769595,773197,778620
False,True,True,0.19,0.19,9.71,-12.37,2.725,-9.645,-3.46,gamble,lose,-9.645,8.7595833333333,800.430157503055,1,801.513920309662,805.515482156654,806.499156519421,1.05046964203939,NaN,NaN,NaN,NaN,NaN,781020,782321,787122,0,0,788324
False,False,True,0.19,0.19,9.9,1.49,-0.025,-1.515,-0.77,gamble,win,-0.025,8.7345833333333,808.516609464015,1,810.95093605225,814.952453101403,815.93615946261,2.40127053268952,NaN,NaN,NaN,NaN,NaN,790724,793645,798447,0,0,799648
False,True,False,0.19,0.19,10.09,-12.75,0.175,-12.575,-6.2,certain,certain,-6.2,2.5345833333333,817.953607927426,3,819.821048680576,823.822595488338,833.309624574322,1.83435941871721,824.806315288937,825.806711430429,0.36,7.50288402527804,828.807827858254,802048,804289,809091,811472,815073,820516
False,True,True,0.36,0.36,10.45,-15.49,2.075,-13.415,-5.67,certain,certain,-5.67,-3.13541666666671,835.348348525178,3,837.311175541894,841.312690991093,842.29643543053,1.92975176201435,NaN,NaN,NaN,NaN,NaN,822916,825277,830079,0,0,831261
True,False,True,0.41,-0.59,-0.59,-2.11416666666667,13.5,11.3858333333333,5.69291666666667,gamble,lose,11.3858333333333,8.25041666666663,857.919218174124,1,859.936661199201,863.9215137469,873.425220133737,1.98434025165625,864.921899968816,865.922271151503,0.6,7.50289138493827,868.923451256356,850007,852428,857210,859611,863212,868635
True,True,False,0.6,-0.4,-0.99,6.59,13.7,7.11,3.555,gamble,win,13.7,21.9504166666666,875.442678198102,1,876.426355440693,880.432510033133,881.411615969322,0.950608387589455,NaN,NaN,NaN,NaN,NaN,871035,872216,877018,0,0,878219
True,False,True,0.6,-0.4,-1.39,-1.51583333333333,3.9,2.38416666666667,1.19208333333333,gamble,lose,2.38416666666667,24.3345833333333,883.429127471172,1,885.246453765663,889.231402948848,890.23176101211,1.78426735900575,NaN,NaN,NaN,NaN,NaN,880619,882800,887582,0,0,888803
True,True,False,0.6,-0.4,-1.79,7.39,3.3,-4.09,-0.395,gamble,win,3.3,27.6345833333333,892.249240835488,1,893.799808072974,897.801332161762,907.28838492668,1.51750670204638,898.785030203406,899.785424424976,0.67,7.50290450430475,902.786592050397,891203,893064,897866,900247,903848,909271
True,True,True,0.67,-0.33,-2.12,6.74,12.7,5.96,2.98,gamble,win,12.7,40.3345833333333,909.305795953202,1,910.689661859011,914.674613922019,915.674934547045,1.35082936927211,NaN,NaN,NaN,NaN,NaN,911671,913332,918114,0,0,919335
True,True,False,0.67,-0.33,-2.45,7.07,13.9,6.83,3.415,gamble,win,13.9,54.2345833333333,917.692428449751,1,919.309728569468,923.29456063814,932.798254225578,1.58424374414608,924.294952939788,925.295337881835,0.79,7.50285266677383,928.296502627374,921735,923676,928458,930859,934460,939883
True,False,False,0.79,-0.21,-2.66,-0.956666666666667,7.7,6.74333333333333,3.37166666666667,gamble,lose,6.74333333333333,60.9779166666666,934.815748128225,1,935.582671337586,939.567554923822,940.567922586633,0.73384027503198,NaN,NaN,NaN,NaN,NaN,942283,943204,947986,0,0,949207
True,True,False,0.79,-0.21,-2.87,5.81,6.3,0.49,0.245,gamble,win,6.3,67.2779166666666,942.585440808209,1,943.785861204553,947.770750550553,957.274439338187,1.16738161991816,948.771135492541,949.77157099219,0.74,7.50284690700937,952.77274181752,951607,953048,957830,960231,963832,969255
True,True,False,0.74,-0.26,-3.13,6.77,2.7,-4.07,-0.685,gamble,win,2.7,69.9779166666666,959.291932280932,1,960.575732141791,964.577324067417,965.56102434895,1.25071276666131,NaN,NaN,NaN,NaN,NaN,971655,973196,977998,0,0,979199
True,True,True,0.74,-0.26,-3.39,7.03,10.7,3.67,1.835,gamble,win,10.7,80.6779166666666,967.578448174929,1,968.578832156956,972.563720542996,973.564151242841,0.967293048044667,NaN,NaN,NaN,NaN,NaN,981599,982800,987581,0,0,988803
True,True,False,0.74,-0.26,-3.65,7.29,0.7,-6.59,-2.945,gamble,win,0.7,81.3779166666666,975.581531550852,1,976.865385489189,980.86700013373,990.353966502706,1.25062413082924,981.850703615113,982.851046639087,0.81,7.50289682467701,985.852217784384,991203,992743,997545,999926,1003528,1008971
True,True,False,0.81,-0.19,-3.84,6.5,-1.3,-7.8,-4.55,gamble,win,-1.3,80.0779166666666,992.392700053053,1,994.672357707459,998.673868996848,999.657664313912,2.24655712081585,NaN,NaN,NaN,NaN,NaN,1011371,1014112,1018914,0,0,1020115
True,True,False,0.81,-0.19,-4.03,6.69,12.5,5.81,2.905,gamble,win,12.5,92.5779166666666,1001.6750811002,1,1002.69209214544,1006.67702276952,1016.18071987678,0.98392395110568,1007.67736867332,1008.67775905511,0.88,7.50290482427226,1011.67894651962,1022515,1023736,1028518,1030919,1034520,1040023
True,False,True,0.88,-0.12,-4.15,-0.765833333333333,6.7,5.93416666666667,2.96708333333333,gamble,lose,5.93416666666667,98.5120833333333,1018.26486858533,1,1019.26525448728,1023.266759697,1024.25047981757,0.967343605705537,NaN,NaN,NaN,NaN,NaN,1042423,1043623,1048425,0,0,1049627
True,True,False,0.88,-0.12,-4.27,5.95,12.1,6.15,3.075,gamble,win,12.1,110.612083333333,1026.26794044184,1,1027.40172427142,1031.4032857985,1032.38697168068,1.10069257562282,NaN,NaN,NaN,NaN,NaN,1052027,1053387,1058189,0,0,1059391
