isCongruent,isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,fixCross_started,outcome1Box_stopped,choiceKey_rt,choiceKey_started,outcome1Box_2_stopped,outcome1Box_3_stopped,fixCross_ITI_stopped,fixCross_ISI_stopped,happyText_stopped,happySlider_rt,happySlider_started,happySlider_stopped,trial_sample,choice_sample,outcome_sample,happyText_sample,happySlider_sample,fixCross_ITI_sample
True,True,0.11,0.11,1.77,-3.31,12.1,8.79,4.395,gamble,lose,8.79,181.8725,713.849252645306,None,1.08381373601696,713.849252645306,None,None,None,,,NaN,NaN,,618600,619941,624723,0,0,625944
True,True,0.11,0.11,1.88,-3.42,8.5,5.08,2.54,gamble,lose,5.08,186.9525,721.969048265109,None,1.06738575610325,721.969048265109,None,None,None,None,None,7.50281201962389,732.056247752111,None,628344,629665,634447,636847,640449,645872
False,True,0.08,0.08,1.96,0.443333333333333,2.275,1.83166666666667,0.915833333333333,gamble,win,2.275,189.2275,738.575440713999,None,0.767249698894375,738.575440713999,None,None,None,,,NaN,NaN,,648272,649232,654034,0,0,655236
False,True,0.08,0.08,2.04,0.45,3.375,2.925,1.4625,gamble,win,3.375,192.6025,746.378439668291,None,1.21743170580885,746.378439668291,None,None,None,,,NaN,NaN,,657636,659136,663918,0,0,665140
True,False,0.08,0.08,2.12,-3.24,13.9,10.66,5.33,gamble,lose,10.66,203.2625,754.63165902758,None,0.767165863080663,754.63165902758,None,None,None,None,None,7.50268146614144,764.418747416128,None,667540,668500,673302,675683,679284,684707
True,True,0.23,0.23,2.35,-5.57,3.7,-1.87,0.915,gamble,lose,-1.87,201.3925,770.937899740044,None,0.883979231757621,770.937899740044,None,None,None,,,NaN,NaN,,687107,688208,692990,0,0,694211
True,True,0.23,0.23,2.58,-5.8,11.1,5.3,2.65,gamble,lose,5.3,206.6925,778.857605828316,None,0.91726397018283,778.857605828316,None,None,None,None,None,7.50272850379406,788.794754885836,None,696611,697751,702533,704934,708536,713959
False,False,0.18,0.18,2.76,0.86,0.075,-0.785,-0.355,gamble,win,0.075,206.7675,795.31393408841,None,1.11732694303828,795.31393408841,None,None,None,,,NaN,NaN,,716359,717739,722541,0,0,723743
True,True,0.18,0.18,2.94,-5.46,4.1,-1.36,1.37,gamble,lose,-1.36,205.4075,803.467084203156,None,0.950602785909723,803.467084203156,None,None,None,None,None,7.50276338205185,813.437541677918,None,726143,727323,732105,734506,738107,743530
False,False,0.22,0.22,3.16,1.03333333333333,2.675,1.64166666666667,0.820833333333333,gamble,win,2.675,208.0825,819.956760238529,None,1.18387306105615,819.956760238529,None,None,None,,,NaN,NaN,,745930,747391,752193,0,0,753394
True,True,0.22,0.22,3.38,-6.46,1.9,-4.56,-1.33,gamble,lose,-4.56,203.5225,828.176653901437,None,0.833880932663305,828.176653901437,None,None,None,,,NaN,NaN,,755794,756835,761616,0,0,762838
False,True,0.22,0.22,3.6,1.07,2.925,1.855,0.9275,gamble,win,2.925,206.4475,836.046296888859,None,1.0839983668011,836.046296888859,None,None,None,None,None,7.50280146015211,846.150158904067,None,765238,766578,771380,773761,777363,782786
True,True,0.3,0.3,3.9,-8.1,4.3,-3.8,0.249999999999999,gamble,lose,-3.8,202.6475,852.669347706162,None,1.65071919609727,852.669347706162,None,None,None,,,NaN,NaN,,785186,787206,791988,0,0,793190
True,True,0.28,-0.72,-0.72,10.8,-1.3,-12.1,-6.7,gamble,win,-1.3,201.3475,878.545983304513,None,1.86771092387062,878.545983304513,None,None,None,None,None,7.50279698037411,889.433432123067,None,816238,818519,823321,825702,829303,834726
True,False,0.18,-0.82,-1.54,13.02,10.7,-2.32,-1.16,gamble,win,10.7,212.0475,895.952677242351,None,1.10070473281849,895.952677242351,None,None,None,,,NaN,NaN,,837126,838487,843289,0,0,844490
True,True,0.18,-0.82,-2.36,13.84,0.3,-13.54,-6.62,gamble,win,0.3,212.3475,904.089173468459,None,1.1173000643812,904.089173468459,None,None,None,,,NaN,NaN,,846890,848270,853072,0,0,854274
True,False,0.18,-0.82,-3.18,14.66,-0.5,-15.16,-7.83,gamble,win,-0.5,211.8475,912.242276545554,None,0.900626080745496,912.242276545554,None,None,None,None,None,7.50282353904731,922.162745795729,None,856674,857794,862596,864977,868578,874002
False,True,0.14,-0.86,-4.04,-3.34666666666667,12.1,8.75333333333333,4.37666666666667,gamble,lose,8.75333333333333,220.600833333333,928.681944837313,None,1.03397302406665,928.681944837313,None,None,None,,,NaN,NaN,,876402,877682,882464,0,0,883685
True,True,0.14,-0.86,-4.9,16.94,5.3,-11.64,-3.17,gamble,win,5.3,225.900833333333,936.751715754348,None,1.16735612558114,936.751715754348,None,None,None,None,None,7.50281457949677,946.938924008913,None,886085,887526,892328,894709,898310,903733
False,True,0.13,-0.87,-5.77,-3.52583333333333,3.9,0.374166666666667,0.187083333333333,gamble,lose,0.374166666666667,226.275,953.458138089745,None,1.16741020288282,953.458138089745,None,None,None,,,NaN,NaN,,906133,907574,912356,0,0,913577
True,False,0.13,-0.87,-6.64,18.82,12.7,-6.12,-3.06,gamble,win,12.7,238.975,961.661320586876,None,1.08396796831767,961.661320586876,None,None,None,None,None,7.50277970123716,971.765175882419,None,915977,917318,922120,924500,928102,933525
True,True,0.07,-0.93,-7.57,20.59,11.7,-8.89,1.405,gamble,win,11.7,250.675,978.284362444625,None,1.18402601342132,978.284362444625,None,None,None,,,NaN,NaN,,935925,937386,942167,0,0,943389
False,True,0.07,-0.93,-8.5,-3.96333333333333,3.7,-0.263333333333333,1.71833333333333,gamble,lose,-0.263333333333333,250.411666666667,986.504197550457,None,1.28410069769416,986.504197550457,None,None,None,,,NaN,NaN,,945789,947369,952151,0,0,953373
True,True,0.07,-0.93,-9.43,22.45,0.9,-21.55,-10.325,gamble,win,0.9,251.311666666667,994.824106380609,None,0.950563747857814,994.824106380609,None,None,None,None,None,7.50277746134816,1004.79455265593,None,955773,956953,961735,964136,967737,973160
True,True,0.04,-0.96,-10.39,23.83,12.9,-10.93,0.985000000000001,gamble,win,12.9,264.211666666667,1011.31374113804,None,0.967315871592291,1011.31374113804,None,None,None,,,NaN,NaN,,975560,976761,981563,0,0,982764
True,True,0.04,-0.96,-11.35,24.79,11.1,-13.69,-1.295,gamble,win,11.1,275.311666666667,1019.31682578406,None,0.934034013023847,1019.31682578406,None,None,None,None,None,7.50276978173315,1029.27063960967,None,985164,986325,991127,993508,997109,1002532
False,True,0.05,-0.95,-12.3,-4.35,-1.5,-5.85,-3.675,gamble,lose,-5.85,269.461666666667,1035.78982873175,None,1.40077743318943,1035.78982873175,None,None,None,,,NaN,NaN,,1004932,1006653,1011455,0,0,1012656
False,False,0.05,-0.95,-13.25,-4.42916666666667,6.7,2.27083333333333,1.13541666666667,gamble,lose,2.27083333333333,271.7325,1044.22632918165,None,1.20079445633928,1044.22632918165,None,None,None,,,NaN,NaN,,1015056,1016537,1021338,0,0,1022540
False,True,0.05,-0.95,-14.2,-4.50833333333333,8.7,4.19166666666667,2.09583333333333,gamble,lose,4.19166666666667,275.924166666667,1052.46292185094,None,0.967282593253913,1052.46292185094,None,None,None,None,None,7.50280529995871,1062.45007385231,None,1024940,1026140,1030922,1033323,1036924,1042348
True,True,0.05,-0.95,-15.15,28.45,0.5,-27.95,-13.725,gamble,win,0.5,276.424166666667,1068.96926521428,None,1.15068687771054,1068.96926521428,None,None,None,,,NaN,NaN,,1044748,1046168,1050970,0,0,1052172
False,False,0.05,-0.95,-16.1,-4.66666666666667,0.1,-4.56666666666667,-2.23333333333333,gamble,lose,-4.56666666666667,271.8575,1077.15574742509,None,1.50082971858137,1077.15574742509,None,None,None,None,None,7.50279858029535,1087.67644751174,None,1054572,1056412,1061214,1063595,1067196,1072619
True,False,0,-1,-17.1,31.1,2.5,-28.6,-13.05,gamble,win,2.5,274.3575,1094.19565135308,None,1.31744591310053,1094.19565135308,None,None,None,,,NaN,NaN,,1075019,1076640,1081442,0,0,1082643
True,False,0,-1,-18.1,32.1,13.7,-18.4,-2.35,gamble,win,13.7,288.0575,1102.54891947794,None,1.61748789500416,1102.54891947794,None,None,None,None,None,7.5028446579945,1113.18627070137,None,1085043,1087024,1091826,1094207,1097808,1103232
True,False,0,-1,-19.1,33.1,12.5,-20.6,-4.05,gamble,win,12.5,300.5575,1119.70545310378,None,1.10070633273972,1119.70545310378,None,None,None,,,NaN,NaN,,1105632,1106992,1111794,0,0,1112995
True,False,0,-1,-20.1,34.1,3.1,-31,-13.95,gamble,win,3.1,303.6575,1127.84191989136,None,1.21726339421184,1127.84191989136,None,None,None,,,NaN,NaN,,1115395,1116896,1121698,0,0,1122899
True,False,0,-1,-21.1,35.1,5.9,-29.2,-11.65,gamble,win,5.9,309.5575,1136.09509349293,None,1.28406965924296,1136.09509349293,None,None,None,None,None,7.50279026071075,1146.3990104814,None,1125299,1126880,1131682,1134063,1137664,1143087
True,False,0,-1,-22.1,36.1,6.1,-30,-11.95,gamble,win,6.1,315.6575,1152.91821400276,None,1.00069052552863,1152.91821400276,None,None,None,,,NaN,NaN,,1145487,1146728,1151530,0,0,1152731
False,False,0,-1,-23.1,-5.425,2.3,-3.125,-0.4125,gamble,lose,-3.125,312.5325,1160.95466594307,None,1.06737583659924,1160.95466594307,None,None,None,None,None,7.5194028714086,1171.04191342768,None,1155131,1156452,1161233,1163634,1167236,1172679
False,True,0.01,-0.99,-24.09,-5.4725,11.5,6.0275,3.01375,gamble,lose,6.0275,318.56,1177.57773403952,None,1.01729289673858,1177.57773403952,None,None,None,,,NaN,NaN,,1175079,1176339,1181121,0,0,1182343
True,True,0.01,-0.99,-25.08,38.94,8.1,-30.84,-11.37,gamble,win,8.1,326.66,1185.63082546919,None,0.933943137557435,1185.63082546919,None,None,None,None,None,7.50280497997483,1195.58464761439,None,1184743,1185903,1190705,1193086,1196687,1202090
