isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,fixCross_started,fixCross_stopped,outcome2Box_started,choiceKey_started,choiceKey_stopped,outcome2Box_2_started,outcome2Box_3_started,fixCross_ISI_started,happyText_started,happySlider_response,happySlider_started,happySlider_stopped,happyResp_keys,trial_sample,choice_sample,outcome_sample,happyText_sample,happySlider_sample,fixCross_ITI_sample
False,0.53,-0.47,-4.95,-2.0575,0.3,-1.7575,-0.72875,gamble,lose,-1.7575,37.5975,237.232718622687,None,237.232718622687,237.232718622687,None,240.23384592641,244.23545992584,NaN,NaN,NaN,NaN,,,162001,165603,170405,0,0,171606
True,0.53,-0.47,-5.42,-2.09666666666667,11.1,9.00333333333333,4.50166666666667,gamble,lose,9.00333333333333,46.6008333333333,247.236603228765,None,247.236603228765,247.236603228765,None,248.353631946691,252.33855845916,253.338879403138,254.339286102837,0.53,257.340476763398,None,None,174006,175347,180128,182529,186131,191554
False,0.53,-0.47,-5.89,12.47,13.5,1.03,0.515000000000001,gamble,win,13.5,60.1008333333333,263.859665885477,None,263.859665885477,263.859665885477,None,265.510302525698,269.511776692107,NaN,NaN,NaN,NaN,,,193954,195935,200737,0,0,201938
False,0.53,-0.47,-6.36,12.94,5.7,-7.24,-0.769999999999999,certain,certain,-0.769999999999999,59.3308333333333,272.513000631006,None,272.513000631006,272.513000631006,None,273.813498270163,277.81503963322,NaN,NaN,NaN,NaN,,,204338,205899,210700,0,0,211902
True,0.53,-0.47,-6.83,13.41,0.9,-12.51,-5.805,certain,certain,-5.805,53.5258333333333,280.816141658208,None,280.816141658208,280.816141658208,None,282.266753723652,286.268303086308,287.25193526339,288.252419079239,0.54,291.253533583604,None,None,214302,216043,220844,223225,226827,232250
True,0.54,-0.46,-7.29,-2.2175,8.9,6.6825,3.34125,gamble,lose,6.6825,60.2083333333333,297.772724945567,None,297.772724945567,297.772724945567,None,299.006532473897,303.008064557416,NaN,NaN,NaN,NaN,,,234650,236130,240932,0,0,242134
True,0.54,-0.46,-7.75,14.19,3.9,-10.29,-3.195,certain,certain,-3.195,57.0133333333333,306.009221939639,None,306.009221939639,306.009221939639,None,307.493131542873,311.49466042655,312.478376439445,313.478763620118,0.54,316.479907243029,None,None,244534,246314,251116,253497,257099,262522
False,0.54,-0.46,-8.21,14.65,3.3,-11.35,-4.025,certain,certain,-4.025,52.9883333333333,322.99909476519,None,322.99909476519,322.99909476519,None,324.316274451579,328.317816454601,NaN,NaN,NaN,NaN,,,264922,266502,271304,0,0,272506
False,0.54,-0.46,-8.67,15.11,11.7,-3.41,-1.705,gamble,win,11.7,64.6883333333333,331.318921039459,None,331.318921039459,331.318921039459,None,333.102989738753,337.104499103403,NaN,NaN,NaN,NaN,,,274906,277047,281848,0,0,283050
False,0.54,-0.46,-9.13,15.57,1.7,-13.87,-6.085,certain,certain,-6.085,58.6033333333333,340.105683044301,None,340.105683044301,340.105683044301,None,341.589546249848,345.591106811946,346.574843303821,347.575230484494,0.52,350.57636450788,None,None,285450,287231,292032,294413,298014,303438
False,0.52,-0.48,-9.61,-2.48083333333333,5.1,2.61916666666667,1.30958333333333,gamble,lose,2.61916666666667,61.2225,357.095508192229,None,357.095508192229,357.095508192229,None,358.346036485858,362.347580728769,NaN,NaN,NaN,NaN,,,305838,307339,312140,0,0,313342
False,0.52,-0.48,-10.09,-2.52083333333333,2.7,0.179166666666667,1.43958333333333,certain,certain,1.43958333333333,62.6620833333333,365.348738110992,None,365.348738110992,365.348738110992,None,367.499563861769,371.484431497178,372.484814518059,373.485200418792,0.54,376.486300523877,None,None,315742,318323,323104,325505,329107,334530
True,0.54,-0.46,-10.55,16.99,12.9,-4.09,-2.045,gamble,win,12.9,75.5620833333333,383.005531883846,None,383.005531883846,383.005531883846,None,384.939612614537,388.941161657207,NaN,NaN,NaN,NaN,,,336930,339251,344053,0,0,345254
False,0.54,-0.46,-11.01,-2.5275,2.3,-0.2275,1.03625,certain,certain,1.03625,76.5983333333333,391.942306240071,None,391.942306240071,391.942306240071,None,393.876395930314,397.861251726314,398.861631547352,399.862025127703,0.53,402.863159791061,None,None,347654,349975,354757,357158,360759,366182
False,0.53,-0.47,-11.48,18.06,1.3,-16.76,-7.73,certain,certain,-7.73,68.8683333333333,409.382304435359,None,409.382304435359,409.382304435359,None,410.749539542983,414.751085385815,NaN,NaN,NaN,NaN,,,368582,370223,375025,0,0,376227
False,0.53,-0.47,-11.95,18.53,10.7,-7.83,1.435,certain,certain,1.435,70.3033333333333,417.752205649893,None,417.752205649893,417.752205649893,None,419.969726631243,423.971309592223,NaN,NaN,NaN,NaN,,,378627,381287,386089,0,0,387291
True,0.53,-0.47,-12.42,-2.68,9.1,6.42,3.21,gamble,lose,6.42,76.7233333333333,426.972410977243,None,426.972410977243,426.972410977243,None,428.439687490798,432.424546486636,433.424937507119,434.425324367807,0.53,437.426464470893,None,None,389691,391451,396233,398634,402236,407639
True,0.55,0.55,0.55,-8.25,9.3,1.05,0.524999999999999,gamble,lose,1.05,77.7733333333333,457.88435457302,None,457.88435457302,457.88435457302,None,459.284818741846,463.286361384839,NaN,NaN,NaN,NaN,,,426785,428466,433268,0,0,434469
True,0.55,0.55,1.1,-8.8,0.1,-8.7,-4.3,certain,certain,-4.3,73.4733333333333,466.28755588521,None,466.28755588521,466.28755588521,None,468.521785472469,472.523319475891,473.506998370638,474.507353872894,0.55,477.508527254318,None,None,436869,439550,444352,446733,450334,455758
True,0.55,0.55,1.65,-9.35,7.1,-2.25,-1.125,gamble,lose,-2.25,71.2233333333333,484.027717016364,None,484.027717016364,484.027717016364,None,485.661714487211,489.663199213093,NaN,NaN,NaN,NaN,,,458158,460118,464920,0,0,466121
False,0.55,0.55,2.2,2.10833333333333,1.075,-1.03333333333333,0.0208333333333333,certain,certain,0.0208333333333333,71.2441666666667,492.664356915302,None,492.664356915302,492.664356915302,None,494.631827659163,498.616693374664,499.617053036713,500.617424538166,0.54,503.618634397768,None,None,468521,470882,475664,478066,481667,487090
True,0.54,0.54,2.74,-10.3,1.1,-9.2,-4.05,certain,certain,-4.05,67.1941666666667,510.137815200265,None,510.137815200265,510.137815200265,None,511.438259722072,515.43979404548,NaN,NaN,NaN,NaN,,,489490,491050,495852,0,0,497054
False,0.54,0.54,3.28,2.16333333333333,1.625,-0.538333333333334,0.543333333333333,gamble,win,1.625,68.8191666666667,518.440959747288,None,518.440959747288,518.440959747288,None,520.391753883643,524.393289806972,NaN,NaN,NaN,NaN,,,499454,501795,506596,0,0,507798
True,0.54,0.54,3.82,-11.38,2.7,-8.68,-2.99,certain,certain,-2.99,65.8291666666667,527.394410071047,None,527.394410071047,527.394410071047,None,529.27846833886,533.26337213246,534.263719635113,535.264104255915,0.55,538.265199881222,None,None,510198,512459,517241,519642,523243,528666
False,0.55,0.55,4.37,-12.07,6.9,-5.17,0.865,certain,certain,0.865,66.6941666666667,544.784430921209,None,544.784430921209,544.784430921209,None,546.65182026113,550.653380503245,NaN,NaN,NaN,NaN,,,531066,533307,538109,0,0,539310
True,0.55,0.55,4.92,-12.62,3.3,-9.32,-3.01,certain,certain,-3.01,63.6841666666667,553.654501407287,None,553.654501407287,553.654501407287,None,555.388518525153,559.390052528575,560.373804379684,561.374150602402,0.55,564.375249747533,None,None,541710,543791,548593,550974,554575,559998
False,0.55,0.55,5.47,-13.17,5.5,-7.67,-1.085,certain,certain,-1.085,62.5991666666667,570.89452302541,None,570.89452302541,570.89452302541,None,572.161636731093,576.16317809415,NaN,NaN,NaN,NaN,,,562398,563919,568721,0,0,569923
True,0.55,0.55,6.02,-13.72,10.5,-3.22,-1.61,gamble,lose,-3.22,59.3791666666667,579.164352115542,None,579.164352115542,579.164352115542,None,580.73164443631,584.716452234701,NaN,NaN,NaN,NaN,,,572323,574203,578985,0,0,580206
True,0.55,0.55,6.57,-14.27,8.5,-5.77,1.365,certain,certain,1.365,60.7441666666667,587.734346381429,None,587.734346381429,587.734346381429,None,589.785055210043,593.786623131771,594.770336264814,595.770755443886,0.52,598.771862588619,None,None,582606,585068,589869,592250,595852,601274
