isHappyBlock,isCongruent,isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,outcome1Box_started,choiceKey_keys,choiceKey_rt,outcome1Box_2_started,outcome1Box_3_started,fixCross_ITI_started,fixCross_ISI_started,happyText_started,happySlider_response,happySlider_rt,happySlider_started,trial_sample,choice_sample,outcome_sample,happyText_sample,happySlider_sample,fixCross_ITI_sample
False,False,True,0.87,0.87,23.64,5.015,2.875,-2.14,0.3675,gamble,win,2.875,-134.455,746.809318988613,1,1.46750743806479,748.309898481559,752.294775668095,753.295165409887,NaN,NaN,NaN,NaN,NaN,763143,764944,769802,0,0,0
False,True,True,0.87,0.87,24.51,-36.69,11.9,-24.79,-6.445,gamble,lose,-24.79,-159.245,755.312612274778,1,1.65088415067294,756.996598878904,760.998210643622,770.485157493444,761.98191892475,762.982256508985,0.78,7.50312145418138,765.983457092894,0,0,0,0,0,0
False,False,False,0.78,0.78,25.29,4.8375,-0.225,-5.0625,-2.64375,gamble,win,-0.225,-159.47,772.502612677956,1,2.38452923478326,774.920247566042,778.921827012266,779.905496255233,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
True,True,True,0.85,-0.15,-0.15,2.25,-0.3,-2.55,-1.425,gamble,win,-0.3,-159.77,794.361085210112,1,1.95104132735287,796.345226431033,800.330086018395,809.833755926928,801.330508078681,802.330895900552,0.91,7.50271411318681,805.332009128557,0,0,0,0,0,0
True,True,True,0.91,-0.09,-0.24,1.5,0.3,-1.2,-0.45,gamble,win,0.3,-159.47,811.851218151103,1,1.71758343448164,813.6018985993,817.586759146623,818.587199446047,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
True,True,False,0.91,-0.09,-0.33,1.59,0.7,-0.889999999999999,-0.0949999999999998,gamble,win,0.7,-158.77,820.604604712891,1,1.70095381143619,822.338626419398,826.323478327104,827.32391830656,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
True,False,True,0.91,-0.09,-0.42,-0.35,13.5,13.15,6.575,gamble,lose,13.15,-145.62,829.341317493643,1,0.967342965741409,830.341701155732,834.326620900276,843.83028312918,835.326969363989,836.327441341942,0.95,7.5028744256997,839.328561609611,0,0,0,0,0,0
True,True,False,0.95,-0.05,-0.47,1.17,8.1,6.93,3.465,gamble,win,8.1,-137.52,845.847766792343,1,1.20071478260797,847.08157922863,851.06645929502,852.066797199252,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
True,True,False,0.95,-0.05,-0.52,1.22,-0.1,-1.32,-0.71,gamble,win,-0.1,-137.62,854.084297821624,1,0.983930350776063,855.101306626952,859.086239170923,868.589865881484,860.086621553055,861.087013534736,0.92,7.50286450615386,864.088162281056,0,0,0,0,0,0
True,True,False,0.92,-0.08,-0.6,1.72,3.5,1.78,0.89,gamble,win,3.5,-134.12,870.607357544272,1,1.31739285140065,871.957839089766,875.942712436488,876.943102818244,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
True,True,False,0.92,-0.08,-0.68,1.8,9.7,7.9,3.95,gamble,win,9.7,-124.42,878.960601840692,1,1.26741950615542,880.261121240415,884.245943709509,893.766299238516,885.246327691566,886.246769910911,0.95,7.5194026135141,889.247914817417,0,0,0,0,0,0
True,False,True,0.95,-0.05,-0.73,-0.235833333333333,9.3,9.06416666666667,4.53208333333333,gamble,lose,9.06416666666667,-115.355833333333,895.783797620999,1,1.00063357042382,896.817543884361,900.802408271498,901.802821692167,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
True,True,False,0.95,-0.05,-0.78,1.48,12.3,10.82,5.41,gamble,win,12.3,-103.055833333333,903.820252557809,1,0.850609539513243,904.703897353931,908.705476800125,909.689135803579,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
True,True,False,0.95,-0.05,-0.83,1.53,10.5,8.97,4.485,gamble,win,10.5,-92.5558333333333,911.706641545723,1,1.0506504336081,912.790391872899,916.775235461013,926.278955927177,917.775650161639,918.775990625727,0.97,7.50283378758468,921.777200169221,0,0,0,0,0,0
True,True,False,0.97,-0.03,-0.86,1.28,6.7,5.42,2.71,gamble,win,6.7,-85.8558333333333,928.29635191444,1,2.48466855628067,930.81404932763,934.815554857283,935.799260258558,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
True,True,True,0.97,-0.03,-0.89,1.31,0.9,-0.41,0.245,gamble,win,0.9,-84.9558333333333,937.816731442319,1,0.650490569096291,938.500338224199,942.485191091895,951.988928197272,943.485631071322,944.486015053379,1,7.50282418803545,947.487115801952,0,0,0,0,0,0
True,False,False,1,0,-0.89,-0.0741666666666667,7.3,7.22583333333333,3.61291666666667,gamble,lose,7.22583333333333,-77.73,954.00633410408,1,0.833900880155852,954.873323998327,958.858247262688,959.858591886587,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
True,True,False,1,0,-0.89,0.89,0.5,-0.39,0.0549999999999999,gamble,win,0.5,-77.23,961.876040671399,1,2.76804155707941,964.677127404604,968.662074667867,969.662392733007,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
