lifeHappySlider_response,blockHappySlider_response,isHappyBlock,isCongruent,isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,outcome1Box_started,choiceKey_keys,outcome1Box_2_started,outcome1Box_3_started,fixCross_ITI_started,choiceKey_rt,fixCross_ISI_started,happyText_started,happySlider_response,happySlider_rt,happySlider_started,trial_sample,choice_sample,outcome_sample,happyText_sample,happySlider_sample,fixCross_ITI_sample
NaN,NaN,False,True,True,0.4,0.4,10.76,-16.36,-1.1,-17.46,-9.28,gamble,lose,-17.46,24.1633333333333,793.125127833569,1,795.259272177122,799.260823779623,800.244486995158,2.10100135800894,NaN,NaN,NaN,NaN,NaN,679190,681751,686553,0,0,687754
NaN,NaN,False,False,False,0.4,0.4,11.16,2.33,-0.075,-2.405,-1.24,gamble,win,-0.075,24.0883333333333,802.262016680092,NaN,805.26308766671,809.264671907527,810.248383440659,NaN,NaN,NaN,NaN,NaN,NaN,690154,693756,698558,0,0,699759
NaN,NaN,False,True,True,0.4,0.4,11.56,-17.16,9.3,-7.86,0.720000000000001,gamble,lose,-7.86,16.2283333333333,812.265886246925,1,813.532982033561,817.534487878322,827.021431250148,1.23409327410627,818.518180532381,819.518570912885,0.36,7.50281649932731,822.519765413366,702159,703680,708482,710863,714464,719887
NaN,NaN,False,True,True,0.36,0.36,11.92,-16.96,12.1,-4.86,-2.43,gamble,lose,-4.86,11.3683333333333,829.038919337094,1,830.239361491054,834.224224326666,835.22462014691,1.16733212675899,NaN,NaN,NaN,NaN,NaN,722287,723728,728510,0,0,729731
NaN,NaN,False,True,False,0.36,0.36,12.28,-17.32,8.7,-8.62,0.0399999999999991,gamble,lose,-8.62,2.7483333333333,837.242050316883,1,838.542559155496,842.544091878925,852.031121966429,1.26746920798905,843.527806291939,844.528187072952,0.31,7.50287409662269,847.529380933265,732131,733692,738493,740874,744476,749899
NaN,NaN,False,True,True,0.31,0.31,12.59,-16.93,1.7,-15.23,-6.765,gamble,lose,-15.23,-12.4816666666667,854.048516618088,1,855.982600548537,859.967511381838,860.96789024293,1.90102766070049,NaN,NaN,NaN,NaN,NaN,752299,754620,759402,0,0,760623
NaN,NaN,False,True,True,0.31,0.31,12.9,-17.24,4.3,-12.94,-4.32,gamble,lose,-12.94,-25.4216666666667,862.985342491651,1,864.26913280494,868.270697846776,877.757696575834,1.2506729264278,869.254369381932,870.2548045601,0.23,7.50275826232973,873.255944343284,763023,764564,769366,771746,775348,780771
NaN,NaN,False,True,True,0.23,0.23,13.13,-16.35,3.9,-12.45,-4.275,certain,certain,-4.275,-29.6966666666667,879.775136985118,3,881.775910066557,885.77743351052,886.761154323118,1.96766529418528,NaN,NaN,NaN,NaN,NaN,783171,785572,790374,0,0,791575
NaN,NaN,False,True,False,0.23,0.23,13.36,-16.58,11.1,-5.48,-2.74,gamble,lose,-5.48,-35.1766666666667,888.778589612804,1,889.862382549909,893.847162829596,894.847552570165,1.05065667117015,NaN,NaN,NaN,NaN,NaN,793975,795276,800058,0,0,801279
NaN,NaN,False,False,True,0.23,0.23,13.59,1.9375,1.475,-0.4625,0.50625,certain,certain,0.50625,-34.6704166666667,896.865006738808,3,898.198890231433,902.183803944499,911.687415284221,1.30079586431384,903.184093850083,904.184483590536,0.38,7.50275730236899,907.185673291213,803679,805280,810062,812462,816064,821487
NaN,NaN,False,True,True,0.38,0.38,13.97,-19.29,7.5,-11.79,-2.145,gamble,lose,-11.79,-46.4604166666667,913.704807696049,1,914.805271160905,918.790147115826,919.790534616564,1.06730192026589,NaN,NaN,NaN,NaN,NaN,823887,825207,829989,0,0,831191
NaN,0.34,True,False,True,0.34,-0.66,-0.66,-2.365,0.7,-1.665,-0.4825,certain,certain,-0.4825,-46.9429166666667,933.529155664495,3,935.596607337357,939.598207577481,949.085141029791,2.03435700491536,940.581872712937,941.582200696575,0.33,7.50287217658479,944.583342399565,847676,850157,854959,857340,860941,866365
NaN,NaN,True,False,True,0.33,-0.67,-1.33,-2.45583333333333,12.5,10.0441666666667,5.02208333333333,gamble,lose,10.0441666666667,-36.89875,951.102529601776,1,952.019550704048,956.004501535324,957.004905035137,0.883910435135476,NaN,NaN,NaN,NaN,NaN,868765,869865,874647,0,0,875868
